NOM|ARRONDISSEMENT|NO_CIVIQUE|RUE|ANC_VILLE|VOCATION
Toilettes (nord petit lac) Base plein-air Ste-Foy|3||Laberge, Rue|Sainte-Foy|Bâtiment accessoire
Maison Jean-Baptiste-Boivin|3|3206|Laberge, Rue |Sainte-Foy|Pavillon de services et de loisirs
Grange Émile-Laberge|3||Laberge, Rue |Sainte-Foy|Pavillon de services et de loisirs
Chalet Parc Louis-Latulippe|2|620|Plante, Avenue |Vanier|Pavillon de services et de loisirs
Chalet piscine Base plein air La Découverte|6|1560|Montagne Ouest, Avenue de la |Val-Bélair|Pavillon de services et de loisirs
Chalet de tennis Parc La Chanterelle|6|1525|Innovation, Rue de l' |Val-Bélair|Pavillon de services et de loisirs
Pavillon Parc Chauveau|2|3175|Chauveau, Avenue |Québec (ancienne ville)|Pavillon de services et de loisirs
Chalet des patineurs Parc Saint-Ange|3|1545|Saint-Ange, Rang |Sainte-Foy|Pavillon de services et de loisirs
Pavillon piscine Parc de l'Apprenti-Sage|2|2250|Coursol, Rue |Québec (ancienne ville)|Pavillon de services et de loisirs
Centre de loisirs Cambert|5|280|Cambert, Rue |Beauport|Pavillon de services et de loisirs
Toilettes Parc Armand-Grenier|5||Cascades, Avenue des|Beauport|Pavillon de services et de loisirs
Chalet des patineurs Base plein-air Ste-Foy|3||Laberge, Rue |Sainte-Foy|Pavillon de services et de loisirs
Bloc sanitaire #2 Camping municipal Beauport|5|95|Sérénité, Rue de la |Beauport|Pavillon de services et de loisirs
Chalet aux Pignons Verts|5|121|Vachon, Rue |Beauport|Pavillon de services et de loisirs
Chalet Chevalier|5|491|Méandre, Rue du |Beauport|Pavillon de services et de loisirs
Chalet de Répentigny|5|95|Sérénité, Rue de la |Beauport|Pavillon de services et de loisirs
Chalet de tennis Courville|5|2271|Larue, Avenue |Beauport|Pavillon de services et de loisirs
Chalet de tennis Fargy|5|653|Chutes, Boulevard des |Beauport|Pavillon de services et de loisirs
Chalet du Buisson|5|23|Hugues-Pommier, Rue |Beauport|Pavillon de services et de loisirs
Chalet La Bourrasque|5|3320|Mallet, Avenue |Beauport|Pavillon de services et de loisirs
Chalet Noël-Langlois|5|99|Terrasse-Orléans, Rue de la |Beauport|Pavillon de services et de loisirs
Chalet St-Ignace|5|3300|Royal, Chemin |Beauport|Pavillon de services et de loisirs
Chalet Savio|5|95|Savio, Rue |Beauport|Pavillon de services et de loisirs
Chalet Vachon|5|55|Vachon, Rue |Beauport|Pavillon de services et de loisirs
Centre d'interprétation Camping municipal Beauport|5|95|Sérénité, Rue de la |Beauport|Pavillon de services et de loisirs
Maison des jeunes L'Échouerie|5|90|Renardière, Rue de la |Beauport|Centre communautaire
Chalet Parc des Écores|3|4001|Charles-A.-Roy, Rue |Cap-Rouge|Pavillon de services et de loisirs
Chalet Parc du Plateau|3|4575|Promenade-des-Soeurs, Rue de la |Cap-Rouge|Pavillon de services et de loisirs
Chalet Parc Provancher|3|4170|Michel-Hervé, Rue |Cap-Rouge|Pavillon de services et de loisirs
Bloc sanitaire Parc Cartier-Roberval|3|4075|Saint-Louis, Chemin |Cap-Rouge|Pavillon de services et de loisirs
Toilettes Parc des Potiers|3|4333|Bégin, Rue|Cap-Rouge|Bâtiment accessoire
Chalet Bon-Pasteur|4|395|Bienheureux-Jean-XXIII, Rue du |Charlesbourg|Pavillon de services et de loisirs
Chalet Bourg-Royal|4|1435|Louis-XIV, Boulevard |Charlesbourg|Pavillon de services et de loisirs
Chalet Chabot|4|1641|Colmar, Avenue de |Charlesbourg|Pavillon de services et de loisirs
Pavillon piscine Parc Guillaume-Mathieu|4|720|Gironde, Avenue de |Charlesbourg|Pavillon de services et de loisirs
Chalet Parc Guillaume-Mathieu|4|720|Gironde, Avenue de |Charlesbourg|Pavillon de services et de loisirs
Chalet l'Amibourg|4|617|Hélène-Paradis, Avenue |Charlesbourg|Pavillon de services et de loisirs
