NOM|TYPE|VAL_PATRI|CLASSIF|STATUT|RELIGION|ARROND|QUARTIER|LONGITUDE|LATITUDE
Chapelle de l'Hôtel-Dieu de Québec|chapelle||Non disponible|Ouverte au culte|Catholique Romain|La Cité-Limoilou|Vieux-Québec/Cap-Blanc/Colline parlementaire|-71.210228|46.815053
Masonic Hall|autre||Non disponible|Ouverte au culte|autre|La Cité-Limoilou|Vieux-Québec/Cap-Blanc/Colline parlementaire|-71.206978|46.811816
Chapelle des Ursulines|chapelle||Non disponible|Ouverte au culte|Catholique Romain|La Cité-Limoilou|Vieux-Québec/Cap-Blanc/Colline parlementaire|-71.207979|46.812276
Chapelle extérieur du Séminaire de Québec|chapelle||Non disponible|Recyclée|Catholique Romain|La Cité-Limoilou|Vieux-Québec/Cap-Blanc/Colline parlementaire|-71.206544|46.814539
Église de Chalmers Wesley|église|Valeur patrimoniale significative|Incontournable|Ouverte au culte|Protestant-Méthodiste|La Cité-Limoilou|Vieux-Québec/Cap-Blanc/Colline parlementaire|-71.209024|46.810159
Église évangélique baptiste|église|Valeur patrimoniale significative|Non disponible|Recyclée|Protestant-Baptste|La Cité-Limoilou|Vieux-Limoilou|-71.230515|46.827791
Cathédral Holy Trinity|église|Valeur patrimoniale élevée|Incontournable|Ouverte au culte|Anglican|La Cité-Limoilou|Vieux-Québec/Cap-Blanc/Colline parlementaire|-71.206367|46.812659
Église de St. Andrew's|église|Valeur patrimoniale élevée|Incontournable|Ouverte au culte|Protestan-Presbytérien|La Cité-Limoilou|Vieux-Québec/Cap-Blanc/Colline parlementaire|-71.209825|46.812818
Église de St. Matthew's|église||Non disponible|Recyclée|Anglican|La Cité-Limoilou|Saint-Jean-Baptiste|-71.217357|46.811113
Chapelle, institut Saint-Joseph|chapelle||Non disponible|Ouverte au culte|Catholique Romain|La Cité-Limoilou|Montcalm|-71.236807|46.803064
Chapelle des Soeurs de la Charité|chapelle||Non disponible|Ouverte au culte|Catholique Romain|La Cité-Limoilou|Vieux-Québec/Cap-Blanc/Colline parlementaire|-71.215510|46.813231
Église de Notre-Dame-des-Anges|église||Non disponible|Ouverte au culte|Catholique Romain|NON DISPONIBLE|NON DISPONIBLE|-71.232947|46.814362
Église de l'annonciation|église||Non disponible|Ouverte au culte|Othodoxe grecque|La Cité-Limoilou|Saint-Jean-Baptiste|-71.224866|46.805159
Église Notre-Dame-de-Foy|église||Non disponible|Recyclée|Catholique Romain|Sainte-Foy-Sillery-Cap-Rouge|Cité Universitaire|-71.303954|46.778235
Chapelle des Franciscaines missionaires de Marie|chapelle||Non disponible|Démolie|Catholique Romain|La Cité-Limoilou|Saint-Jean-Baptiste|-71.220238|46.804972
Chapelle des Franciscains|chapelle||Non disponible|Recyclée|Catholique Romain|La Cité-Limoilou|Montcalm|-71.232410|46.805320
Église de Saint-Mathieu|église|Valeur communautaire|Non disponible|Ouverte au culte|Catholique Romain|Sainte-Foy-Sillery-Cap-Rouge|Plateau|-71.308561|46.767559
Église de Saint-Louis-de-France|église|Valeur patrimoniale élevée|Non disponible|Ouverte au culte|Catholique Romain|Sainte-Foy-Sillery-Cap-Rouge|Saint-Louis|-71.280455|46.759597
Église de Saint-Ambroise-de-la-Jeune-Lorette|église|Valeur patrimoniale significative|Non disponible|Ouverte au culte|Catholique Romain|La Haute-Saint-Charles|Loretteville|-71.359088|46.851573
Chapelle Notre-Dame-de-Lourde|chapelle||Non disponible|Démolie|Catholique Romain|La Cité-Limoilou|Saint-Sauveur|-71.232492|46.809835
