Pavillon Parc Fénelon|3|1260|Fénelon, Rue |Sainte-Foy|Pavillon de services et de loisirs|46.8156637|-71.3671575
Pavillon Parc de la Plage-Jacques-Cartier|3|3636|Pavillon, Chemin du |Sainte-Foy|Pavillon de services et de loisirs|46.7519809|-71.3136935
Chalet Parc de la Falaise|3|1615|Gignac, Côte à |Sillery|Pavillon de services et de loisirs|46.7665641|-71.2668654
Chalet Parc Saint-Charles-Garnier|3|1730|Sheppard, Rue |Sillery|Pavillon de services et de loisirs|46.7841285|-71.2492199
Pavillon Parc du Buisson|3|2140|Marie-Victorin, Rue |Sillery|Pavillon de services et de loisirs|46.7789675|-71.2582802
Chalet des moniteurs Base plein air La Découverte|6|1560|Montagne Ouest, Avenue de la |Val-Bélair|Pavillon de services et de loisirs|46.8270615|-71.4538599
Chalet d'accueil Base plein air La Découverte|6|1560|Montagne Ouest, Avenue de la |Val-Bélair|Pavillon de services et de loisirs|46.8270615|-71.4538599
Chalet Jules-Émond|6|1045|Collégiens, Rue des |Val-Bélair|Pavillon de services et de loisirs|46.8416576|-71.4291184
Chalet Sainte-Anne|6|1374|Grimaldi, Rue |Val-Bélair|Pavillon de services et de loisirs|46.8716522|-71.4437839
Chalet principal Base plein air La Découverte|6|1560|Montagne Ouest, Avenue de la |Val-Bélair|Pavillon de services et de loisirs|46.8270615|-71.4538599
Chalet Parc La Chanterelle|6|1530|Innovation, Rue de l' |Val-Bélair|Pavillon de services et de loisirs|0|0
Chalet Parc de la Terrasse Bon-Air|4|1085|60e Est, Rue |Charlesbourg|Pavillon de services et de loisirs|46.8577769|-71.2412337
Chalet piscine Camping municipal Beauport|5|95|Sérénité, Rue de la |Beauport|Pavillon de services et de loisirs|46.8970061|-71.178002
Pavillon piscine Giffard|5|3490|Cambronne, Rue |Beauport|Pavillon de services et de loisirs|46.8608033|-71.2130441
Chalet pataugeoire Parc St-Jean-B.-de-la-Salle|3|2570|Biencourt, Rue |Sainte-Foy|Pavillon de services et de loisirs|46.785246|-71.2941113
Pavillon Parc Sainte-Geneviève|3|3200|D'Amours, Avenue |Sainte-Foy|Pavillon de services et de loisirs|46.774926|-71.3188499
Pavillon piscine Parc Saint-Louis-de-France|3|1591|Sieur-D'Argenteuil, Rue du |Sainte-Foy|Pavillon de services et de loisirs|46.7617519|-71.283883
